ProductID,ProductName,Category,Price
1,Letter Pro,Electronics,373.36
2,Recent X,Clothing,78.37
3,Pretty Pro,Books,52.6
4,Sure Lite,Electronics,24.6
5,Throw X,Clothing,257.62
6,Note Pro,Books,107.43
7,Worry Lite,Clothing,230.11
8,See Max,Electronics,381.82
9,Team X,Sports,176.72
10,Score X,Clothing,479.03
11,Oil Max,Electronics,55.45
12,Ahead Pro,Home Appliances,425.27
13,Quality Max,Electronics,367.57
14,Area Pro,Sports,48.61
15,Ever Max,Books,443.87
16,Thousand Max,Books,104.22
17,Respond Pro,Electronics,334.02
18,Lose Max,Electronics,429.11
19,Conference Pro,Sports,146.21
20,Major Max,Clothing,191.39
21,Writer X,Home Appliances,353.89
22,Share Pro,Books,321.14
23,Air X,Clothing,236.51
24,Section Max,Books,117.61
25,Clearly Max,Electronics,122.23
26,Himself Pro,Home Appliances,206.57
27,Tv Pro,Clothing,457.44
28,Detail Max,Clothing,331.16
29,Task Lite,Sports,80.01
30,Ahead X,Clothing,375.04
31,Better Max,Books,219.93
32,Class Lite,Home Appliances,117.47
33,Office X,Books,251.82
34,Summer Pro,Electronics,84.89
35,Garden X,Sports,302.24
36,Identify Lite,Sports,301.99
37,Quite Lite,Books,133.19
38,Hospital Pro,Electronics,344.04
39,Instead Max,Home Appliances,64.66
40,View Lite,Clothing,232.32
41,Stay Max,Books,383.36
42,Form Pro,Home Appliances,422.42
43,And X,Clothing,193.22
44,Beat X,Books,477.21
45,Food Pro,Books,168.84
46,Range Pro,Electronics,465.26
47,Least Max,Clothing,38.38
48,Peace Pro,Electronics,368.63
49,Yard Pro,Books,385.26
50,Drop X,Sports,473.96
